time_s,raw,angle_deg,agc
18.7044,733.0000,64.4238,128.0000
18.7144,733.0000,64.4238,128.0000
18.7244,733.0000,64.4238,128.0000
18.7344,733.0000,64.4238,128.0000
18.7444,733.0000,64.4238,128.0000
18.7544,733.0000,64.4238,128.0000
18.7644,733.0000,64.4238,128.0000
18.7744,733.0000,64.4238,128.0000
18.7844,733.0000,64.4238,128.0000
18.7944,733.0000,64.4238,128.0000
18.8044,733.0000,64.4238,128.0000
18.8144,733.0000,64.4238,128.0000
18.8244,733.0000,64.4238,128.0000
18.8344,733.0000,64.4238,128.0000
18.8444,733.0000,64.4238,128.0000
18.8544,733.0000,64.4238,128.0000
18.8644,733.0000,64.4238,128.0000
18.8744,733.0000,64.4238,128.0000
18.8844,733.0000,64.4238,128.0000
18.8944,733.0000,64.4238,128.0000
18.9044,733.0000,64.4238,128.0000
18.9144,733.0000,64.4238,128.0000
18.9245,733.0000,64.4238,128.0000
18.9344,733.0000,64.4238,128.0000
18.9444,733.0000,64.4238,128.0000
18.9544,733.0000,64.4238,128.0000
18.9644,733.0000,64.4238,128.0000
18.9744,733.0000,64.4238,128.0000
18.9844,733.0000,64.4238,128.0000
18.9944,733.0000,64.4238,128.0000
19.0044,733.0000,64.4238,128.0000
19.0144,733.0000,64.4238,128.0000
19.0244,733.0000,64.4238,128.0000
19.0344,733.0000,64.4238,128.0000
19.0444,733.0000,64.4238,128.0000
19.0544,733.0000,64.4238,128.0000
19.0644,733.0000,64.4238,128.0000
19.0744,733.0000,64.4238,128.0000
19.0844,733.0000,64.4238,128.0000
19.0944,733.0000,64.4238,128.0000
19.1044,733.0000,64.4238,128.0000
19.1144,733.0000,64.4238,128.0000
19.1244,733.0000,64.4238,128.0000
19.1344,733.0000,64.4238,128.0000
19.1444,733.0000,64.4238,128.0000
19.1544,733.0000,64.4238,128.0000
19.1644,733.0000,64.4238,128.0000
19.1744,733.0000,64.4238,128.0000
19.1844,733.0000,64.4238,128.0000
19.1944,733.0000,64.4238,128.0000
19.2044,733.0000,64.4238,128.0000
19.2144,733.0000,64.4238,128.0000
19.2244,733.0000,64.4238,128.0000
19.2344,733.0000,64.4238,128.0000
19.2444,733.0000,64.4238,128.0000
19.2544,733.0000,64.4238,128.0000
19.2644,733.0000,64.4238,128.0000
19.2744,733.0000,64.4238,128.0000
19.2844,733.0000,64.4238,128.0000
19.2944,733.0000,64.4238,128.0000
19.3044,733.0000,64.4238,128.0000
19.3144,733.0000,64.4238,128.0000
19.3244,733.0000,64.4238,128.0000
19.3344,733.0000,64.4238,128.0000
19.3444,733.0000,64.4238,128.0000
19.3544,733.0000,64.4238,128.0000
19.3644,733.0000,64.4238,128.0000
19.3744,733.0000,64.4238,128.0000
19.3844,733.0000,64.4238,128.0000
19.3944,733.0000,64.4238,128.0000
19.4044,733.0000,64.4238,128.0000
19.4144,733.0000,64.4238,128.0000
19.4244,733.0000,64.4238,128.0000
19.4344,733.0000,64.4238,128.0000
19.4444,733.0000,64.4238,128.0000
19.4544,733.0000,64.4238,128.0000
19.4644,733.0000,64.4238,128.0000
19.4744,733.0000,64.4238,128.0000
19.4844,733.0000,64.4238,128.0000
19.4944,733.0000,64.4238,128.0000
19.5044,733.0000,64.4238,128.0000
19.5144,733.0000,64.4238,128.0000
19.5244,733.0000,64.4238,128.0000
19.5344,733.0000,64.4238,128.0000
19.5444,733.0000,64.4238,128.0000
19.5544,733.0000,64.4238,128.0000
19.5644,733.0000,64.4238,128.0000
19.5744,733.0000,64.4238,128.0000
19.5844,733.0000,64.4238,128.0000
19.5944,733.0000,64.4238,128.0000
19.6044,733.0000,64.4238,128.0000
19.6144,733.0000,64.4238,128.0000
19.6244,733.0000,64.4238,128.0000
19.6344,733.0000,64.4238,128.0000
19.6444,733.0000,64.4238,128.0000
19.6544,733.0000,64.4238,128.0000
19.6644,733.0000,64.4238,128.0000
19.6744,733.0000,64.4238,128.0000
19.6844,733.0000,64.4238,128.0000
19.6944,733.0000,64.4238,128.0000
19.7044,733.0000,64.4238,128.0000
19.7144,733.0000,64.4238,128.0000
19.7244,733.0000,64.4238,128.0000
19.7344,733.0000,64.4238,128.0000
19.7444,733.0000,64.4238,128.0000
19.7544,733.0000,64.4238,128.0000
19.7644,733.0000,64.4238,128.0000
19.7744,733.0000,64.4238,128.0000
19.7844,733.0000,64.4238,128.0000
19.7944,733.0000,64.4238,128.0000
19.8044,733.0000,64.4238,128.0000
19.8144,733.0000,64.4238,128.0000
19.8244,733.0000,64.4238,128.0000
19.8344,733.0000,64.4238,128.0000
19.8444,733.0000,64.4238,128.0000
19.8544,733.0000,64.4238,128.0000
19.8644,733.0000,64.4238,128.0000
19.8744,733.0000,64.4238,128.0000
19.8844,733.0000,64.4238,128.0000
19.8944,733.0000,64.4238,128.0000
19.9044,733.0000,64.4238,128.0000
19.9144,733.0000,64.4238,128.0000
19.9244,733.0000,64.4238,128.0000
19.9344,733.0000,64.4238,128.0000
19.9444,733.0000,64.4238,128.0000
19.9544,733.0000,64.4238,128.0000
19.9644,733.0000,64.4238,128.0000
19.9744,733.0000,64.4238,128.0000
19.9844,733.0000,64.4238,128.0000
19.9944,733.0000,64.4238,128.0000
20.0044,733.0000,64.4238,128.0000
20.0144,733.0000,64.4238,128.0000
20.0244,733.0000,64.4238,128.0000
20.0344,733.0000,64.4238,128.0000
20.0444,733.0000,64.4238,128.0000
20.0544,733.0000,64.4238,128.0000
20.0644,733.0000,64.4238,128.0000
20.0744,733.0000,64.4238,128.0000
20.0844,733.0000,64.4238,128.0000
20.0944,733.0000,64.4238,128.0000
20.1044,733.0000,64.4238,128.0000
20.1144,733.0000,64.4238,128.0000
20.1244,733.0000,64.4238,128.0000
20.1344,733.0000,64.4238,128.0000
20.1444,733.0000,64.4238,128.0000
20.1544,733.0000,64.4238,128.0000
20.1644,733.0000,64.4238,128.0000
20.1744,733.0000,64.4238,128.0000
20.1844,733.0000,64.4238,128.0000
20.1944,733.0000,64.4238,128.0000
20.2044,733.0000,64.4238,128.0000
20.2144,733.0000,64.4238,128.0000
20.2244,733.0000,64.4238,128.0000
20.2344,733.0000,64.4238,128.0000
20.2444,733.0000,64.4238,128.0000
20.2544,733.0000,64.4238,128.0000
20.2644,733.0000,64.4238,128.0000
20.2744,733.0000,64.4238,128.0000
20.2844,733.0000,64.4238,128.0000
20.2944,733.0000,64.4238,128.0000
20.3044,733.0000,64.4238,128.0000
20.3144,733.0000,64.4238,128.0000
20.3244,733.0000,64.4238,128.0000
20.3344,733.0000,64.4238,128.0000
20.3444,733.0000,64.4238,128.0000
20.3544,733.0000,64.4238,128.0000
20.3644,733.0000,64.4238,128.0000
20.3744,733.0000,64.4238,128.0000
20.3844,733.0000,64.4238,128.0000
20.3944,733.0000,64.4238,128.0000
20.4044,733.0000,64.4238,128.0000
20.4144,733.0000,64.4238,128.0000
20.4244,733.0000,64.4238,128.0000
20.4344,733.0000,64.4238,128.0000
20.4444,733.0000,64.4238,128.0000
20.4544,733.0000,64.4238,128.0000
20.4644,733.0000,64.4238,128.0000
20.4744,733.0000,64.4238,128.0000
20.4844,733.0000,64.4238,128.0000
20.4944,733.0000,64.4238,128.0000
20.5044,733.0000,64.4238,128.0000
20.5144,733.0000,64.4238,128.0000
20.5244,733.0000,64.4238,128.0000
20.5344,733.0000,64.4238,128.0000
20.5444,733.0000,64.4238,128.0000
20.5544,733.0000,64.4238,128.0000
20.5644,733.0000,64.4238,128.0000
20.5744,733.0000,64.4238,128.0000
20.5844,733.0000,64.4238,128.0000
20.5944,733.0000,64.4238,128.0000
20.6044,733.0000,64.4238,128.0000
20.6144,733.0000,64.4238,128.0000
20.6244,733.0000,64.4238,128.0000
20.6344,733.0000,64.4238,128.0000
20.6444,733.0000,64.4238,128.0000
20.6544,733.0000,64.4238,128.0000
20.6644,733.0000,64.4238,128.0000
20.6744,733.0000,64.4238,128.0000
20.6844,733.0000,64.4238,128.0000
20.6944,733.0000,64.4238,128.0000
20.7044,733.0000,64.4238,128.0000
20.7144,733.0000,64.4238,128.0000
20.7244,733.0000,64.4238,128.0000
20.7344,733.0000,64.4238,128.0000
20.7444,733.0000,64.4238,128.0000
20.7544,733.0000,64.4238,128.0000
20.7644,733.0000,64.4238,128.0000
20.7744,733.0000,64.4238,128.0000
20.7844,733.0000,64.4238,128.0000
20.7944,733.0000,64.4238,128.0000
20.8044,733.0000,64.4238,128.0000
20.8144,733.0000,64.4238,128.0000
20.8244,733.0000,64.4238,128.0000
20.8344,733.0000,64.4238,128.0000
20.8444,733.0000,64.4238,128.0000
20.8544,733.0000,64.4238,128.0000
20.8644,733.0000,64.4238,128.0000
20.8744,733.0000,64.4238,128.0000
20.8844,733.0000,64.4238,128.0000
20.8944,733.0000,64.4238,128.0000
20.9044,733.0000,64.4238,128.0000
20.9144,733.0000,64.4238,128.0000
20.9244,733.0000,64.4238,128.0000
20.9344,733.0000,64.4238,128.0000
20.9444,733.0000,64.4238,128.0000
20.9544,733.0000,64.4238,128.0000
20.9644,733.0000,64.4238,128.0000
20.9744,733.0000,64.4238,128.0000
20.9844,733.0000,64.4238,128.0000
20.9944,733.0000,64.4238,128.0000
21.0044,733.0000,64.4238,128.0000
21.0144,733.0000,64.4238,128.0000
21.0244,733.0000,64.4238,128.0000
21.0344,733.0000,64.4238,128.0000
21.0444,733.0000,64.4238,128.0000
21.0544,733.0000,64.4238,128.0000
21.0644,733.0000,64.4238,128.0000
21.0744,733.0000,64.4238,128.0000
21.0844,733.0000,64.4238,128.0000
21.0944,733.0000,64.4238,128.0000
21.1044,733.0000,64.4238,128.0000
21.1144,733.0000,64.4238,128.0000
21.1244,733.0000,64.4238,128.0000
21.1344,733.0000,64.4238,128.0000
